# team attributes separated by semicolon; first column is always username
username;featured;type;country;region;state;institution
teambrbr01;yes;oficial;br;n;pa;ufpa
teambrbr02;yes;oficial;br;ne;ce;uece
teambrbr03;yes;oficial;br;s;pr;unioeste
teambrbr04;yes;oficial;br;se;mg;ufmg
teambrbr05;yes;oficial;br;se;mg;if
teambrbr06;yes;oficial;br;se;sp;unicamp
teambrbr07;yes;oficial;br;ne;pe;ufrpe
teambrbr08;yes;oficial;br;n;am;estacio
teambrbr09;yes;oficial;br;se;mg;inatel
teambrbr10;yes;oficial;br;se;mg;unifei
teambrbr11;yes;oficial;br;ne;ce;ufc
teambrbr12;yes;oficial;br;co;go;ufg
teambrbr13;yes;oficial;br;se;mg;ufu
teambrbr14;yes;oficial;br;co;df;unb
teambrbr15;yes;oficial;br;n;am;ufam
teambrbr16;yes;oficial;br;ne;ba;ufba
teambrbr17;yes;oficial;br;se;sp;unifacef
teambrbr18;yes;oficial;br;se;sp;ita
teambrbr19;yes;oficial;br;n;pa;ufopa
teambrbr20;yes;oficial;br;se;sp;usp
teambrbr21;yes;oficial;br;se;sp;usp
teambrbr22;yes;oficial;br;co;ms;ufms
teambrbr23;yes;oficial;br;ne;pb;ufcg
teambrbr24;yes;oficial;br;ne;pb;if
teambrbr25;yes;oficial;br;se;sp;unesp
teambrbr26;yes;oficial;br;co;df;unb
teambrbr27;yes;oficial;br;co;go;pucgo
teambrbr28;yes;oficial;br;se;sp;facens
teambrbr29;yes;oficial;br;se;sp;unicamp
teambrbr30;yes;oficial;br;s;rs;ufrgs
teambrbr31;yes;oficial;br;ne;pb;unifacisa
teambrbr32;yes;oficial;br;se;mg;uftm
teambrbr33;yes;oficial;br;ne;pe;ufpe
teambrbr34;yes;oficial;br;co;go;ufg
teambrbr35;yes;oficial;br;se;mg;cefetmg
teambrbr36;yes;oficial;br;s;sc;uffs
teambrbr37;yes;oficial;br;s;pr;ufpr
teambrbr38;yes;oficial;br;s;sc;udesc
teambrbr39;yes;oficial;br;se;sp;usp
teambrbr40;yes;oficial;br;s;pr;uem
teambrbr41;yes;oficial;br;se;sp;ufscar
teambrbr42;yes;oficial;br;se;sp;fatec
teambrbr43;yes;oficial;br;ne;ce;if
teambrbr44;yes;oficial;br;ne;pb;ufcg
teambrbr45;yes;oficial;br;se;rj;ime
teambrbr46;yes;oficial;br;ne;pi;ufpi
teambrbr47;yes;oficial;br;ne;ba;uesb
teambrbr48;yes;oficial;br;se;sp;ufabc
teambrbr49;yes;oficial;br;se;es;ufes
teambrbr50;yes;oficial;br;ne;rn;ufrn
teambrbr51;yes;oficial;br;se;mg;ufv
teambrbr52;yes;oficial;br;se;sp;unoeste
teambrbr53;yes;oficial;br;s;rs;upf
teambrbr54;yes;oficial;br;ne;pe;ufpe
teambrbr55;yes;oficial;br;se;sp;uninove
teambrbr56;yes;oficial;br;se;mg;ufu
teambrbr57;yes;oficial;br;se;sp;fatec
teambrbr58;yes;oficial;br;se;rj;pucrj
teambrbr59;yes;oficial;br;ne;al;ufal
teambrbr60;yes;oficial;br;ne;se;ufs
teamcacr01;no;oficial;cr;none;none;none
teamcacr02;no;oficial;cr;none;none;none
teamcacr03;no;oficial;cr;none;none;none
teamcacr04;no;oficial;cr;none;none;none
teamcacr05;no;oficial;cr;none;none;none
teamcacr06;no;oficial;cr;none;none;none
teamcacr07;no;oficial;cr;none;none;none
teamcacr08;no;oficial;cr;none;none;none
teamcacr09;no;oficial;cr;none;none;none
teamcacr10;no;oficial;cr;none;none;none
teamcacr11;no;oficial;cr;none;none;none
teamcacr12;no;oficial;cr;none;none;none
teamcacr13;no;oficial;cr;none;none;none
teamcaes01;no;oficial;es;none;none;none
teamcaes02;no;oficial;es;none;none;none
teamcaes03;no;oficial;es;none;none;none
teamcaes04;no;oficial;es;none;none;none
teamcaes05;no;oficial;es;none;none;none
teamcaes06;no;oficial;es;none;none;none
teamcaes07;no;oficial;es;none;none;none
teamcaes08;no;oficial;es;none;none;none
teamcaes09;no;oficial;es;none;none;none
teamcaes10;no;oficial;es;none;none;none
teamcaes11;no;oficial;es;none;none;none
teamcaes12;no;oficial;es;none;none;none
teamcaes13;no;oficial;es;none;none;none
teamcaes14;no;oficial;es;none;none;none
teamcaes15;no;oficial;es;none;none;none
teamcaes16;no;oficial;es;none;none;none
teamcaes17;no;oficial;es;none;none;none
teamcaes18;no;oficial;es;none;none;none
teamcaes19;no;oficial;es;none;none;none
teamcaes20;no;oficial;es;none;none;none
teamcaes21;no;oficial;es;none;none;none
teamcaes22;no;oficial;es;none;none;none
teamcaes23;no;oficial;es;none;none;none
teamcaes24;no;oficial;es;none;none;none
teamcbcu01;no;oficial;cu;none;none;none
teamcbcu02;no;oficial;cu;none;none;none
teamcbcu03;no;oficial;cu;none;none;none
teamcbcu04;no;oficial;cu;none;none;none
teamcbcu05;no;oficial;cu;none;none;none
teamcbcu06;no;oficial;cu;none;none;none
teamcbcu07;no;oficial;cu;none;none;none
teamcbcu08;no;oficial;cu;none;none;none
teamcbcu09;no;oficial;cu;none;none;none
teamcbcu10;no;oficial;cu;none;none;none
teamcbcu11;no;oficial;cu;none;none;none
teamcbcu12;no;oficial;cu;none;none;none
teamcbcu13;no;oficial;cu;none;none;none
teamcbcu14;no;oficial;cu;none;none;none
teamcbcu15;no;oficial;cu;none;none;none
teamcbcu16;no;oficial;cu;none;none;none
teamcbcu17;no;oficial;cu;none;none;none
teamcbcu18;no;oficial;cu;none;none;none
teamcbcu19;no;oficial;cu;none;none;none
teamcbcu20;no;oficial;cu;none;none;none
teamcbcu21;no;oficial;cu;none;none;none
teamcbcu22;no;oficial;cu;none;none;none
teamcbcu23;no;oficial;cu;none;none;none
teamcbcu24;no;oficial;cu;none;none;none
teamcbcu25;no;oficial;cu;none;none;none
teamcbrd01;no;oficial;rd;none;none;none
teamcbrd02;no;oficial;rd;none;none;none
teamcbrd03;no;oficial;rd;none;none;none
teamcbrd04;no;oficial;rd;none;none;none
teamcbrd05;no;oficial;rd;none;none;none
teamcbrd06;no;oficial;rd;none;none;none
teammxmx01;no;oficial;mx;none;none;none
teammxmx02;no;oficial;mx;none;none;none
teammxmx03;no;oficial;mx;none;none;none
teammxmx04;no;oficial;mx;none;none;none
teammxmx05;no;oficial;mx;none;none;none
teammxmx06;no;oficial;mx;none;none;none
teammxmx07;no;oficial;mx;none;none;none
teammxmx08;no;oficial;mx;none;none;none
teammxmx09;no;oficial;mx;none;none;none
teammxmx10;no;oficial;mx;none;none;none
teammxmx11;no;oficial;mx;none;none;none
teammxmx12;no;oficial;mx;none;none;none
teammxmx13;no;oficial;mx;none;none;none
teammxmx14;no;oficial;mx;none;none;none
teammxmx15;no;oficial;mx;none;none;none
teammxmx16;no;oficial;mx;none;none;none
teammxmx17;no;oficial;mx;none;none;none
teammxmx18;no;oficial;mx;none;none;none
teammxmx19;no;oficial;mx;none;none;none
teammxmx20;no;oficial;mx;none;none;none
teammxmx21;no;oficial;mx;none;none;none
teammxmx22;no;oficial;mx;none;none;none
teammxmx23;no;oficial;mx;none;none;none
teammxmx24;no;oficial;mx;none;none;none
teammxmx25;no;oficial;mx;none;none;none
teammxmx26;no;oficial;mx;none;none;none
teammxmx27;no;oficial;mx;none;none;none
teammxmx28;no;oficial;mx;none;none;none
teammxmx29;no;oficial;mx;none;none;none
teammxmx30;no;oficial;mx;none;none;none
teammxmx31;no;oficial;mx;none;none;none
teammxmx32;no;oficial;mx;none;none;none
teammxmx33;no;oficial;mx;none;none;none
teammxmx34;no;oficial;mx;none;none;none
teammxmx35;no;oficial;mx;none;none;none
teammxmx36;no;oficial;mx;none;none;none
teammxmx37;no;oficial;mx;none;none;none
teammxmx38;no;oficial;mx;none;none;none
teammxmx39;no;oficial;mx;none;none;none
teammxmx40;no;oficial;mx;none;none;none
teammxmx41;no;oficial;mx;none;none;none
teammxmx42;no;oficial;mx;none;none;none
teammxmx43;no;oficial;mx;none;none;none
teammxmx44;no;oficial;mx;none;none;none
teammxmx45;no;oficial;mx;none;none;none
teammxmx46;no;oficial;mx;none;none;none
teammxmx47;no;oficial;mx;none;none;none
teammxmx48;no;oficial;mx;none;none;none
teammxmx49;no;oficial;mx;none;none;none
teammxmx50;no;oficial;mx;none;none;none
teammxmx51;no;oficial;mx;none;none;none
teammxmx52;no;oficial;mx;none;none;none
teammxmx53;no;oficial;mx;none;none;none
teammxmx54;no;oficial;mx;none;none;none
teammxmx55;no;oficial;mx;none;none;none
teamnoco01;no;oficial;co;none;none;none
teamnoco02;no;oficial;co;none;none;none
teamnoco03;no;oficial;co;none;none;none
teamnoco04;no;oficial;co;none;none;none
teamnoco05;no;oficial;co;none;none;none
teamnoco06;no;oficial;co;none;none;none
teamnoco07;no;oficial;co;none;none;none
teamnoco08;no;oficial;co;none;none;none
teamnoco09;no;oficial;co;none;none;none
teamnoco10;no;oficial;co;none;none;none
teamnoco11;no;oficial;co;none;none;none
teamnoco12;no;oficial;co;none;none;none
teamnoco13;no;oficial;co;none;none;none
teamnoco14;no;oficial;co;none;none;none
teamnoco15;no;oficial;co;none;none;none
teamnoco16;no;oficial;co;none;none;none
teamnoco17;no;oficial;co;none;none;none
teamnoco18;no;oficial;co;none;none;none
teamnoco19;no;oficial;co;none;none;none
teamnoco20;no;oficial;co;none;none;none
teamnoco21;no;oficial;co;none;none;none
teamnoco22;no;oficial;co;none;none;none
teamnoco23;no;oficial;co;none;none;none
teamnoco24;no;oficial;co;none;none;none
teamnoco25;no;oficial;co;none;none;none
teamnoco26;no;oficial;co;none;none;none
teamnoco27;no;oficial;co;none;none;none
teamnoco28;no;oficial;co;none;none;none
teamnoco29;no;oficial;co;none;none;none
teamnoco30;no;oficial;co;none;none;none
teamnoco31;no;oficial;co;none;none;none
teamnoco32;no;oficial;co;none;none;none
teamnoco33;no;oficial;co;none;none;none
teamnoco34;no;oficial;co;none;none;none
teamnoco35;no;oficial;co;none;none;none
teamnoco36;no;oficial;co;none;none;none
teamnoco37;no;oficial;co;none;none;none
teamnoco38;no;oficial;co;none;none;none
teamnoco39;no;oficial;co;none;none;none
teamnoco40;no;oficial;co;none;none;none
teamnovz01;no;oficial;vz;none;none;none
teamnovz02;no;oficial;vz;none;none;none
teamnovz03;no;oficial;vz;none;none;none
teamnovz04;no;oficial;vz;none;none;none
teamnovz05;no;oficial;vz;none;none;none
teamnovz06;no;oficial;vz;none;none;none
teamnovz07;no;oficial;vz;none;none;none
teamnovz08;no;oficial;vz;none;none;none
teamnovz09;no;oficial;vz;none;none;none
teamnovz10;no;oficial;vz;none;none;none
teamnovz11;no;oficial;vz;none;none;none
teamnovz12;no;oficial;vz;none;none;none
teamsoar01;no;oficial;ar;none;none;none
teamsoar02;no;oficial;ar;none;none;none
teamsoar03;no;oficial;ar;none;none;none
teamsoar04;no;oficial;ar;none;none;none
teamsoar05;no;oficial;ar;none;none;none
teamsoar06;no;oficial;ar;none;none;none
teamsoar07;no;oficial;ar;none;none;none
teamsoar08;no;oficial;ar;none;none;none
teamsoar09;no;oficial;ar;none;none;none
teamsoar10;no;oficial;ar;none;none;none
teamsoar11;no;oficial;ar;none;none;none
teamsoar12;no;oficial;ar;none;none;none
teamsoar13;no;oficial;ar;none;none;none
teamsoar14;no;oficial;ar;none;none;none
teamsoar15;no;oficial;ar;none;none;none
teamsoar16;no;oficial;ar;none;none;none
teamsoar17;no;oficial;ar;none;none;none
teamsoar18;no;oficial;ar;none;none;none
teamsoar19;no;oficial;ar;none;none;none
teamsoar20;no;oficial;ar;none;none;none
teamsoar21;no;oficial;ar;none;none;none
teamsoar22;no;oficial;ar;none;none;none
teamsoar23;no;oficial;ar;none;none;none
teamsoar24;no;oficial;ar;none;none;none
teamsoar25;no;oficial;ar;none;none;none
teamsoar26;no;oficial;ar;none;none;none
teamsoar27;no;oficial;ar;none;none;none
teamsoar28;no;oficial;ar;none;none;none
teamsoar29;no;oficial;ar;none;none;none
teamsoar30;no;oficial;ar;none;none;none
teamsoar31;no;oficial;ar;none;none;none
teamsoar32;no;oficial;ar;none;none;none
teamsoar33;no;oficial;ar;none;none;none
teamsoar34;no;oficial;ar;none;none;none
teamsoar35;no;oficial;ar;none;none;none
teamsoar36;no;oficial;ar;none;none;none
teamsobv01;no;oficial;bv;none;none;none
teamsobv02;no;oficial;bv;none;none;none
teamsobv03;no;oficial;bv;none;none;none
teamsobv04;no;oficial;bv;none;none;none
teamsobv05;no;oficial;bv;none;none;none
teamsobv06;no;oficial;bv;none;none;none
teamsobv07;no;oficial;bv;none;none;none
teamsobv08;no;oficial;bv;none;none;none
teamsobv09;no;oficial;bv;none;none;none
teamsobv10;no;oficial;bv;none;none;none
teamsobv11;no;oficial;bv;none;none;none
teamsobv12;no;oficial;bv;none;none;none
teamsobv13;no;oficial;bv;none;none;none
teamsobv14;no;oficial;bv;none;none;none
teamsobv15;no;oficial;bv;none;none;none
teamsobv16;no;oficial;bv;none;none;none
teamsobv17;no;oficial;bv;none;none;none
teamsobv18;no;oficial;bv;none;none;none
teamsobv19;no;oficial;bv;none;none;none
teamsobv20;no;oficial;bv;none;none;none
teamsobv21;no;oficial;bv;none;none;none
teamsobv22;no;oficial;bv;none;none;none
teamsobv23;no;oficial;bv;none;none;none
teamsobv24;no;oficial;bv;none;none;none
teamsobv25;no;oficial;bv;none;none;none
teamsobv26;no;oficial;bv;none;none;none
teamsobv27;no;oficial;bv;none;none;none
teamsobv28;no;oficial;bv;none;none;none
teamsobv29;no;oficial;bv;none;none;none
teamsobv30;no;oficial;bv;none;none;none
teamsobv31;no;oficial;bv;none;none;none
teamsobv32;no;oficial;bv;none;none;none
teamsobv33;no;oficial;bv;none;none;none
teamsobv34;no;oficial;bv;none;none;none
teamsobv35;no;oficial;bv;none;none;none
teamsobv36;no;oficial;bv;none;none;none
teamsobv37;no;oficial;bv;none;none;none
teamsobv38;no;oficial;bv;none;none;none
teamsobv39;no;oficial;bv;none;none;none
teamsobv40;no;oficial;bv;none;none;none
teamsobv41;no;oficial;bv;none;none;none
teamsobv42;no;oficial;bv;none;none;none
teamsobv43;no;oficial;bv;none;none;none
teamsobv44;no;oficial;bv;none;none;none
teamsobv45;no;oficial;bv;none;none;none
teamsobv46;no;oficial;bv;none;none;none
teamsobv47;no;oficial;bv;none;none;none
teamsobv48;no;oficial;bv;none;none;none
teamsobv49;no;oficial;bv;none;none;none
teamsobv50;no;oficial;bv;none;none;none
teamsobv51;no;oficial;bv;none;none;none
teamsobv52;no;oficial;bv;none;none;none
teamsoch01;no;oficial;ch;none;none;none
teamsoch02;no;oficial;ch;none;none;none
teamsoch03;no;oficial;ch;none;none;none
teamsoch04;no;oficial;ch;none;none;none
teamsoch05;no;oficial;ch;none;none;none
teamsoch06;no;oficial;ch;none;none;none
teamsoch07;no;oficial;ch;none;none;none
teamsoch08;no;oficial;ch;none;none;none
teamsoch09;no;oficial;ch;none;none;none
teamsoch10;no;oficial;ch;none;none;none
teamsoch11;no;oficial;ch;none;none;none
teamsoch12;no;oficial;ch;none;none;none
teamsoch13;no;oficial;ch;none;none;none
teamsoch14;no;oficial;ch;none;none;none
teamsoch15;no;oficial;ch;none;none;none
teamsoch16;no;oficial;ch;none;none;none
teamsoch17;no;oficial;ch;none;none;none
teamsoch18;no;oficial;ch;none;none;none
teamsoch19;no;oficial;ch;none;none;none
teamsoch20;no;oficial;ch;none;none;none
teamsoch21;no;oficial;ch;none;none;none
teamsoch22;no;oficial;ch;none;none;none
teamsoch23;no;oficial;ch;none;none;none
teamsoch24;no;oficial;ch;none;none;none
teamsoch25;no;oficial;ch;none;none;none
teamsoch26;no;oficial;ch;none;none;none
teamsoch27;no;oficial;ch;none;none;none
teamsoch28;no;oficial;ch;none;none;none
teamsoch29;no;oficial;ch;none;none;none
teamsoch30;no;oficial;ch;none;none;none
teamsope01;no;oficial;pe;none;none;none
teamsope02;no;oficial;pe;none;none;none
teamsope03;no;oficial;pe;none;none;none
teamsope04;no;oficial;pe;none;none;none
teamsope05;no;oficial;pe;none;none;none
teamsope06;no;oficial;pe;none;none;none
teamsope07;no;oficial;pe;none;none;none
teamsope08;no;oficial;pe;none;none;none
teamsope09;no;oficial;pe;none;none;none
teamsope10;no;oficial;pe;none;none;none
teamsope11;no;oficial;pe;none;none;none
teamsope12;no;oficial;pe;none;none;none
teamsope13;no;oficial;pe;none;none;none
teamsope14;no;oficial;pe;none;none;none
teamsope15;no;oficial;pe;none;none;none
teamsope16;no;oficial;pe;none;none;none
teamsope17;no;oficial;pe;none;none;none
teamsope18;no;oficial;pe;none;none;none
teamsope19;no;oficial;pe;none;none;none
teamsope20;no;oficial;pe;none;none;none
teamsope21;no;oficial;pe;none;none;none
teamsope22;no;oficial;pe;none;none;none
teamsope23;no;oficial;pe;none;none;none
teamsope24;no;oficial;pe;none;none;none
teamsope25;no;oficial;pe;none;none;none
teamsope26;no;oficial;pe;none;none;none
teamsope27;no;oficial;pe;none;none;none
